Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,17.0,5.616,-90.0,top
C2,10u,C_0402_1005Metric,10.5,21.335,180.0,top
C3,10u,C_0402_1005Metric,19.5,5.616,90.0,top
C4,4.7u,C_0402_1005Metric,10.5,18.796,0.0,top
C5,10u,C_0402_1005Metric,18.0,20.835,90.0,top
C6,0.1u,C_0402_1005Metric,20.5,20.835,90.0,top
C7,0.1u,C_0402_1005Metric,10.0,5.588,90.0,top
D1,B5819W,D_SOD-123,13.5,5.588,180.0,top
D2,CHG,LED_0603_1608Metric,17.0,14.986,-90.0,top
D3,RDY,LED_0603_1608Metric,20.5,14.986,-90.0,top
J1,USB-C,USB_C_Receptacle_XKB_U262-16XN-4BVC11,3.937,10.335,-90.0,top
J2,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4.5,18.885,180.0,top
J3,Conn_01x09,PinHeader_1x09_P2.54mm_Vertical,24.14,24.765,-90.0,top
J4,Conn_01x09,PinHeader_1x09_P2.54mm_Vertical,24.14,1.905,-90.0,top
Q1,AO3401A,SOT-23,14.0,10.16,0.0,top
R1,3.3k,R_0402_1005Metric,13.5,15.835,180.0,top
R2,100k,R_0402_1005Metric,10.5,15.835,0.0,top
R3,5.1k,R_0402_1005Metric,10.5,9.835,0.0,top
R4,5.1k,R_0402_1005Metric,10.5,12.835,0.0,top
R5,470,R_0402_1005Metric,18.0,18.345,90.0,top
R6,470,R_0402_1005Metric,20.5,18.345,-90.0,top
R7,10k,R_0402_1005Metric,10.0,2.335,-90.0,top
R8,10k,R_0402_1005Metric,10.0,24.335,-90.0,top
SW1,EN,SW_Push_SPST_NO_Alps_SKRK,5.0,2.335,0.0,top
SW2,BOOT,SW_Push_SPST_NO_Alps_SKRK,5.0,24.335,0.0,top
U1,MCP73831-2-OT,SOT-23-5,14.0,20.335,-90.0,top
U2,AP2112K-3.3,SOT-23-5,18.5,10.16,0.0,top
U3,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,32.1,13.335,-90.0,top
